"","nGene","nUMI","orig.ident","S.Score","G2M.Score","Phase","old.ident"
"A6_P1_MMD7_L001",1783,11987.63,"A6",-0.0999475309115811,-0.0621498706034105,"G1","A6"
"A6_P2_MMD7_L001",1258,9037.74,"A6",0.0591415926537879,-0.132574913790646,"S","A6"
"A6_P4_MMD7_L001",1761,11917.44,"A6",-0.100699784403451,0.0626280133689872,"G2M","A6"
"A7_P1_MMD7_L001",1870,12804.49,"A7",0.0666790369878961,0.00435147921549273,"S","A7"
"A7_P3_MMD7_L001",1699,11520.56,"A7",-0.0620826186009655,-0.109498805976038,"G1","A7"
"A8_P1_MMD7_L001",1703,11116.75,"A8",0.0454182745711645,-0.0211871172066792,"S","A8"
"A8_P3_MMD7_L001",1418,10579.16,"A8",-0.111917122186419,-0.181385570577237,"G1","A8"
"A8_P4_MMD7_L001",3444,19945.99,"A8",-0.1151234348965,0.0201834165095182,"G2M","A8"
"A9_P1_MMD7_L001",1806,11927.57,"A9",-0.0733717329104101,-0.0917574524425224,"G1","A9"
"A9_P2_MMD7_L001",1341,10624.97,"A9",0.0485234287730852,-0.0413732823080959,"S","A9"
"A9_P4_MMD7_L001",1657,11675.2,"A9",-0.0802828015262678,0.0255055489211037,"G2M","A9"
"B10_P1_MMD7_L001",3115,19542.66,"B10",-0.0464716736923117,-0.0612819727392855,"G1","B10"
"B10_P2_MMD7_L001",1651,11213.05,"B10",-0.00241952139155321,-0.0581973994404647,"G1","B10"
"B10_P4_MMD7_L001",1590,11157.66,"B10",0.0342149077191356,-0.140435355197957,"S","B10"
"B11_P1_MMD7_L001",1526,10396.39,"B11",-0.00484738901161022,-0.0447100990216233,"G1","B11"
"B11_P2_MMD7_L001",1468,9901.51,"B11",-0.0438857887100618,-0.00891981882883316,"G1","B11"
"B11_P3_MMD7_L001",1788,12333.84,"B11",-0.0422166231354517,-0.100288502670355,"G1","B11"
"B11_P4_MMD7_L001",1845,12105.47,"B11",-0.000389981280129029,0.0180148397349789,"G2M","B11"
"B12_P1_MMD7_L001",1513,10742.56,"B12",0.042496575278455,-0.0854633138008193,"S","B12"
"B12_P2_MMD7_L001",3287,18839.69,"B12",0.01942787945041,-0.0430936006202445,"S","B12"
"B12_P4_MMD7_L001",1867,12784.24,"B12",0.0922547648651776,0.0553575570766038,"S","B12"
"B1_P1_MMD7_L001",1852,12534.06,"B1",-0.0335302949532202,-0.121863327312402,"G1","B1"
"B1_P3_MMD7_L001",1732,11380.03,"B1",-0.068513424603158,-0.0106886196609106,"G1","B1"
"B1_P4_MMD7_L001",2006,12693.87,"B1",-0.0366501369549926,-0.0953702859363228,"G1","B1"
"B2_P1_MMD7_L001",1594,11553.77,"B2",0.00984008562543406,-0.0445886818441993,"S","B2"
"B2_P2_MMD7_L001",1589,11790.23,"B2",-0.0324108953792048,-0.118714514404169,"G1","B2"
"B2_P4_MMD7_L001",1714,11635.27,"B2",0.0357969154978425,-0.0803593378270138,"S","B2"
"B3_P1_MMD7_L001",1582,11198.09,"B3",-0.0338233276077885,-0.0871861918232927,"G1","B3"
"B3_P2_MMD7_L001",1723,11173.46,"B3",-0.117075124255794,-0.0865865624754528,"G1","B3"
"B3_P3_MMD7_L001",1432,10149.21,"B3",0.116324216902218,-0.0547268186034571,"S","B3"
"B3_P4_MMD7_L001",2225,14934.66,"B3",-0.0918092071925233,-0.135322147145366,"G1","B3"
"B4_P1_MMD7_L001",1529,10596.91,"B4",-0.0200612868612197,-0.124684789556957,"G1","B4"
"B4_P2_MMD7_L001",1793,11888.28,"B4",-0.0515148093492103,-0.0260645714691279,"G1","B4"
"B4_P3_MMD7_L001",1741,11741.09,"B4",0.108800822180288,-0.0233354327667014,"S","B4"
"B4_P4_MMD7_L001",1892,12551.72,"B4",0.101029105423711,-0.0793028817698707,"S","B4"
"B5_P1_MMD7_L001",1531,10812.78,"B5",-0.103974581409501,-0.0724950033428354,"G1","B5"
"B5_P2_MMD7_L001",1612,10997.28,"B5",-0.120423877332592,-0.0877638301262789,"G1","B5"
"B5_P3_MMD7_L001",1439,10219.29,"B5",-0.06464410589642,-0.151489415095492,"G1","B5"
"B5_P4_MMD7_L001",1308,8627.12,"B5",0.0507411390064336,-0.0310699890877899,"S","B5"
"B6_P1_MMD7_L001",1988,13587.55,"B6",-0.00673327951410935,-0.031437556497816,"G1","B6"
"B6_P2_MMD7_L001",1507,10493.13,"B6",-0.0341413552184903,-0.119455248235124,"G1","B6"
"B6_P4_MMD7_L001",1744,11732.46,"B6",-0.125058892910669,-0.10247986053355,"G1","B6"
"B7_P1_MMD7_L001",1720,11781.33,"B7",0.0073626405677617,-0.0573298059611331,"S","B7"
"B7_P2_MMD7_L001",2224,14821.65,"B7",0.0411010423403522,0.0601453127073537,"G2M","B7"
"B7_P3_MMD7_L001",1680,11373.89,"B7",-0.0793757348263351,-0.0785916526384901,"G1","B7"
"B7_P4_MMD7_L001",1869,12559.33,"B7",-0.054071025461814,-0.0387743828054246,"G1","B7"
"B8_P2_MMD7_L001",3774,21776.49,"B8",-0.0907041614139618,-0.0651468968055713,"G1","B8"
"B8_P3_MMD7_L001",1354,9479.79,"B8",0.0089903490547364,-0.129731007022048,"S","B8"
